=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2017.04.08 13:18:34 =~=~=~=~=~=~=~=~=~=~=~=
>-250 59 2319 -22 40 33
>-247 62 2329 -12 40 31
>-244 60 2327 -13 30 21
>-243 58 2308 -25 38 25
>-239 55 2317 -19 34 20
>-240 60 2327 -5 37 17
>-242 65 2330 -11 37 27
>-247 75 2328 -7 35 38
>-252 80 2316 -22 34 46
>-252 80 2316 -13 39 37
>-249 76 2325 -11 37 41
>-247 79 2328 -7 41 39
>-248 78 2325 -17 36 34
>-245 73 2316 -33 41 29
>-241 79 2322 -20 42 25
>-230 74 2323 -6 32 22
>-230 54 2324 -21 37 20
>-234 41 2326 -22 41 27
>-239 46 2331 -1 38 36
>-252 56 2318 -20 35 36
>-256 55 2315 -14 41 34
>-253 54 2320 -7 44 36
>-251 59 2327 -4 42 35
>-250 70 2326 -8 34 31
>-251 80 2322 -3 34 33
>-246 85 2317 -11 35 35
>-247 88 2323 -10 37 41
>-241 83 2331 -9 32 42
>-241 83 2320 -22 35 47
>-241 83 2321 -27 39 35
>-235 78 2316 -18 39 32
>-229 74 2322 -17 40 30
>-234 63 2327 -17 41 23
>-239 59 2324 -15 43 26
>-240 59 2321 -18 43 24
>-245 61 2319 -18 37 26
>-247 63 2317 -12 38 26
>-248 69 2322 -3 34 27
>-250 69 2325 -15 37 29
>-247 64 2314 -27 37 30
>-243 63 2311 -16 34 28
>-245 61 2325 -10 39 32
>-244 60 2330 -13 42 35
>-243 62 2321 -12 34 43
>-245 66 2317 -13 30 42
>-242 71 2322 -9 35 40
>-241 72 2326 -9 39 35
>-248 77 2325 -14 40 33
>-242 78 2324 -18 38 24
>-238 81 2321 -12 35 29
>-241 81 2324 -9 36 26
>-246 80 2322 -25 39 27
>-245 71 2319 -21 38 28
>-244 65 2325 -14 43 25
>-238 60 2319 -20 39 24
>-240 56 2324 -16 42 31
>-240 59 2323 -13 38 30
>-239 58 2320 -10 38 33
>-248 58 2328 -13 34 32
>-247 66 2322 -9 42 32
>-251 71 2316 -11 40 38
>-249 70 2319 -6 36 36
>-245 72 2327 -11 35 32
>-236 71 2327 -16 39 31
>-238 77 2318 -16 40 30
>-239 76 2320 -8 39 35
>-237 74 2317 -12 42 36
>-245 80 2330 -11 45 38
>-249 83 2345 -1 35 27
>-242 77 2318 -28 33 23
>-233 65 2300 -43 48 20
>-233 55 2314 -12 44 24
>-237 60 2328 9 36 24
>-243 62 2331 -29 41 30
>-246 63 2322 -22 41 30
>-244 63 2312 -10 37 33
>-243 62 2317 -14 42 30
>-245 64 2324 -10 40 28
>-242 67 2330 -5 34 30
>-246 75 2325 -10 37 28
>-244 81 2316 -10 35 34
>-242 82 2321 -13 39 34
>-250 78 2320 -13 42 31
>-255 75 2329 -22 43 35
>-243 69 2325 -27 39 35
>-236 70 2319 -13 41 33
>-236 70 2320 -13 40 31
>-238 65 2324 -16 40 29
>-238 61 2329 -17 37 31
>-241 59 2319 -18 33 30
